Replication,Total Cost,Average Inventory Level,Cumulative Lost Sales,Cumulative Outdated Items,Weekly Reorder Frequency,Weekly Waste Frequency
1,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
2,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
3,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
4,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
5,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
6,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
7,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
8,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
9,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
10,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
11,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
12,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
13,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
14,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
15,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
16,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
17,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
18,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
19,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
20,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
21,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
22,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
23,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
24,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
25,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
26,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
27,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
28,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
29,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
30,420.5179393736634,3.783179341205599,14694.603129018307,10,0.0,0.0
Average,420.5179393736634,3.783179341205598,14694.603129018311,10.0,0.0,0.0
